,Unnamed: 0,ticker,exe_time,send_time,buy_or_sell,cash,qty,exe_price,p_return,un_pl
0,6,NXTD,10:13:10,10:13:02,BUY,248.22,79.0,3.142,-6.1,-15.141419999999998
1,7,NXTD,10:27:14,10:27:08,BUY,245.36,80.0,3.0669999999999997,-3.8,-9.323680000000001
2,8,NXTD,10:34:07,10:33:58,BUY,493.35,166.0,2.972,-0.7,-3.4534499999999997
3,9,NXTD,10:40:07,10:39:59,BUY,986.28,338.0,2.918,1.1,10.84908
4,10,NXTD,10:40:12,10:40:08,BUY,1972.25,686.0,2.875,2.6,51.27850000000001
